# Spot
0.000000000000000000e+00,1.870377906282958635e+00
1.000000000000000000e+00,1.400178374115218949e+00
2.000000000000000000e+00,1.631807531364676933e+00
3.000000000000000000e+00,1.956250441867426693e+00
4.000000000000000000e+00,2.173837537627820726e+00
5.000000000000000000e+00,2.240179092899231783e+00
6.000000000000000000e+00,2.219033726299199927e+00
7.000000000000000000e+00,2.005159076327857726e+00
8.000000000000000000e+00,1.997572587082590889e+00
9.000000000000000000e+00,1.629386318710420722e+00
1.000000000000000000e+01,1.561753795771818387e+00
1.100000000000000000e+01,1.306235499349482021e+00
1.200000000000000000e+01,1.258941254397130782e+00
1.300000000000000000e+01,1.122062418671790018e+00
1.400000000000000000e+01,9.906717410668814949e-01
1.500000000000000000e+01,8.728398748483401359e-01
1.600000000000000000e+01,7.193357065902822312e-01
1.700000000000000000e+01,6.310426005246274617e-01
1.800000000000000000e+01,7.235324545123912321e-01
1.900000000000000000e+01,7.508113175176437393e-01
2.000000000000000000e+01,7.948771788450609277e-01
2.100000000000000000e+01,6.581600417331834318e-01
2.200000000000000000e+01,7.023873021387795346e-01
2.300000000000000000e+01,6.383062006217841144e-01
2.400000000000000000e+01,6.728486567009910324e-01
2.500000000000000000e+01,6.203893206768764657e-01
2.600000000000000000e+01,5.193445919275153644e-01
2.700000000000000000e+01,4.076466159735886441e-01
2.800000000000000000e+01,4.452559022881492634e-01
2.900000000000000000e+01,5.695441260790800042e-01
3.000000000000000000e+01,7.571064401273771560e-01
3.100000000000000000e+01,6.523491612784568794e-01
3.200000000000000000e+01,7.194971199707697052e-01
3.300000000000000000e+01,7.587205741530104186e-01
3.400000000000000000e+01,7.740548478718373149e-01
3.500000000000000000e+01,7.751847417590649325e-01
3.600000000000000000e+01,6.965764208382777545e-01
3.700000000000000000e+01,4.576847229331078570e-01
3.800000000000000000e+01,4.358939337257100588e-01
3.900000000000000000e+01,5.657292150151436300e-02
4.000000000000000000e+01,-1.422880852160510190e-01
4.100000000000000000e+01,-4.338002670826900387e-01
4.200000000000000000e+01,-4.113638336595724643e-01
4.300000000000000000e+01,-2.924023228151125253e-01
4.400000000000000000e+01,-1.258239435738231216e-01
4.500000000000000000e+01,-2.123413946336981106e-01
4.600000000000000000e+01,3.349083970520175951e-02
4.700000000000000000e+01,5.246712302774171333e-01
4.800000000000000000e+01,6.174838807786472428e-01
4.900000000000000000e+01,4.965853198062231688e-01
5.000000000000000000e+01,4.165243442214701108e-01
5.100000000000000000e+01,2.872323537037025365e-01
5.200000000000000000e+01,2.325132802923663422e-01
5.300000000000000000e+01,1.629441987843485984e-01
5.400000000000000000e+01,1.919985708448646855e-01
5.500000000000000000e+01,1.529365819605999210e-01
5.600000000000000000e+01,1.958724871950632274e-01
5.700000000000000000e+01,3.154796648474837983e-01
5.800000000000000000e+01,3.442112170407135574e-01
5.900000000000000000e+01,2.034589067681419616e-01
6.000000000000000000e+01,2.473632938741419651e-01
6.100000000000000000e+01,2.896535517495541501e-01
6.200000000000000000e+01,3.881156144176137746e-01
6.300000000000000000e+01,4.018357393937441735e-01
6.400000000000000000e+01,2.317062143457558343e-01
6.500000000000000000e+01,3.122514006480593962e-01
6.600000000000000000e+01,3.319438125506635751e-01
6.700000000000000000e+01,3.855330027010211991e-01
6.800000000000000000e+01,2.730279920246662662e-01
6.900000000000000000e+01,3.156410780579315123e-01
7.000000000000000000e+01,3.064405251344946568e-01
7.100000000000000000e+01,2.762562560144645185e-01
7.200000000000000000e+01,2.041045595011089508e-01
7.300000000000000000e+01,3.024051949507139958e-01
7.400000000000000000e+01,2.807758256278544140e-01
7.500000000000000000e+01,1.558420190919324877e-01
7.600000000000000000e+01,2.954644270988396326e-01
7.700000000000000000e+01,2.220214230563317126e-01
7.800000000000000000e+01,2.229899021795240521e-01
7.900000000000000000e+01,1.869947622528979336e-01
8.000000000000000000e+01,2.137893505598217614e-01
8.100000000000000000e+01,2.489774258042923016e-01
8.200000000000000000e+01,3.337193579202765714e-01
8.300000000000000000e+01,2.838426764555058712e-01
8.400000000000000000e+01,3.101530289281239083e-01
8.500000000000000000e+01,2.417138321483581487e-01
8.600000000000000000e+01,2.978856251775436892e-01
8.700000000000000000e+01,2.948187742794985411e-01
8.800000000000000000e+01,2.107225000447656982e-01
8.900000000000000000e+01,3.109600949733527520e-01
9.000000000000000000e+01,3.046649798502221729e-01
9.100000000000000000e+01,3.369476222434124035e-01
9.200000000000000000e+01,2.998225836475570394e-01
9.300000000000000000e+01,2.833584368501356199e-01
9.400000000000000000e+01,2.225056626177696895e-01
9.500000000000000000e+01,3.400144733681293996e-01
9.600000000000000000e+01,3.366247958102392968e-01
9.700000000000000000e+01,3.216133668766430476e-01
9.800000000000000000e+01,2.628589605627280057e-01
9.900000000000000000e+01,2.499459049642100417e-01
1.000000000000000000e+02,3.427584980734179609e-01
1.010000000000000000e+02,2.919133366009998287e-01
1.020000000000000000e+02,3.096687893015255821e-01
1.030000000000000000e+02,2.946573610747713068e-01
1.040000000000000000e+02,3.826275645361560951e-01
1.050000000000000000e+02,3.487307871864685493e-01
1.060000000000000000e+02,2.555953667579333177e-01
1.070000000000000000e+02,2.975627987664851704e-01
1.080000000000000000e+02,2.840040896573798879e-01
1.090000000000000000e+02,2.644730925301927438e-01
1.100000000000000000e+02,1.910300917601831516e-01
1.110000000000000000e+02,3.955406231794679206e-01
1.120000000000000000e+02,3.311367464754612078e-01
1.130000000000000000e+02,2.927204026214071941e-01
1.140000000000000000e+02,3.847259365423869037e-01
1.150000000000000000e+02,2.998225836475570394e-01
