JE MM Interferometry 2024-10-17 15-57-04 AIR
gascell


110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650,655,660,665,670,675,680,685,690,695,700,705,710,715,720,725,730,735,740,745,750,755,760
0.089417,0.0287782,0.101868,0.103119,0.025757,0.0581057,0.132722,0.0472109,0.0219117,0.111329,0.118714,0.0246278,0.0607913,0.131654,0.0636907,0.0205079,0.100892,0.111634,0.0308534,0.0586855,0.133302,0.0717473,0.0205384,0.0754094,0.135377,0.0574954,0.0299989,0.101105,0.117585,0.0247499,0.0608828,0.132569,0.0687871,0.0230409,0.0872502,0.120423,0.0425112,0.0359499,0.125306,0.108002,0.031067,0.0676885,0.134645,0.0615237,0.0291139,0.0952764,0.129823,0.0523684,0.0392458,0.126649,0.0953374,0.0219728,0.058655,0.134431,0.058655,0.0221559,0.094605,0.133088,0.0627446,0.0214845,0.0978703,0.120759,0.0442507,0.0431216,0.128694,0.092957,0.0213624,0.0664678,0.134095,0.0856328,0.0204164,0.0893559,0.130433,0.0559084,0.0245973,0.0989079,0.125123,0.0472109,0.038727,0.122376,0.0980229,0.0331118,0.0508425,0.130311,0.10373,0.0248719,0.0718694,0.132844,0.0552371,0.0227968,0.10788,0.106049,0.0374758,0.0329592,0.128175,0.11084,0.0263063,0.0544436,0.130616,0.0918889,0.0209962,0.0887456,0.133607,0.0610659,0.0296022,0.0939031,0.129273,0.0467227,0.0476077,0.127656,0.106507,0.0272523,0.0608218,0.130769,0.0765691,0.0200197,0.0980229,0.134736,0.0656133,0.0320437,0.101136,0.132142,0.0348818,0.0404055,0.124207,0.110352,0.0287782,0.0617373,0.128266,0.063355,0.0349734
